Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C405",CP_Elec_6.3x7.7,2,100u,C3151829
"C202, C204, C205, C206",1206,4,10u,C13585
"C203, C207, C211",0402,3,1u,
"C208, C210, C301, C302, C401, C403, C404",0402,7,100n,
C209,0402,1,4u7,C23733
C212,0603,1,220p,
C213,0402,1,1n,
"C214, C215, C216, C217, C303, C304, C406, C407",1206,8,22u,
C402,0603,1,10u,
D401,D_SOD-323,1,BZT52C15S,C19077448
D402,SOT-23,1,NUP2105L,
D403,D_SMA,1,SMAJ26A,
"D404, D405",D_SOD-323,2,1N5819WS,
F201,1206,1,3A,
"F401, F402",1206,2,5A,
F403,0805,1,4A,C49305071
"F404, F405",0805,2,1.5A,C914095
J301,PinSocket_2x20_P2.54mm_Vertical,1,GPIO,
J302,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,FAN,
J401,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,1,PWR IN,
J402,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,Toolhead 1,
J403,Molex_Micro-Fit_3.0_43045-0400_2x02_P3.00mm_Horizontal,1,Toolhead 2,
J404,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,XH,
J405,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,IN,C2765186
J406,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,OUT,C2765186
J407,USB_A_Wuerth_614004134726_Horizontal,1,OUT,C18077685
"JP302, JP303, JP304, JP305, JP401",PinHeader_1x02_P2.54mm_Vertical,5,~,
L201,L_APV_APH1050,1,3.3uH,C2847560
Q301,SOT-23,1,AO3400A,
Q401,AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm,1,CJAC70P06,
R201,0402,1,100k,
"R202, R301, R305, R406, R408",0402,5,10k,
"R203, R401, R402",0402,3,30k,
R204,0402,1,5k6,
R205,0603,1,1R,
R206,0402,1,15.5k,
R207,0402,1,2k,
R208,0402,1,2k2,
"R302, R303, R304, R404",0402,4,1k,
R403,0402,1,120R,
"R405, R407",0402,2,5k1,
SW301,SW_SPST_TS-1088-xR020,1,BOOT0,
SW302,SW_SPST_TS-1088-xR020,1,RST,
TP301,NAMED_TEST_POINT,1,3V3,
TP302,NAMED_TEST_POINT,1,GND,
TP303,NAMED_TEST_POINT,1,SWDIO,
TP304,NAMED_TEST_POINT,1,SWCLK,
U201,SOT-23-3,1,XC6206PxxxMR,
U202,IC_XR76203ELTR-F,1,XR76208,
U301,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G0B1KBUx,
U401,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1051TK-3,
U402,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,CH334F,
"U403, U404, U405",SOT-23-6,3,USBLC6-2SC6,
